"","gene","TCGA","AUS","CA","TCGA2","AUS2","CA2","sum","abs"
"11810","ENSG00000188153",-0.107429354874499,-0.394896733332143,-0.0315940782502313,-1,-1,-1,-3,3
"11811","ENSG00000188157",-0.0139153644459284,-0.0237905836428567,-0.0584480730055468,-1,-1,-1,-3,3
"11814","ENSG00000188171",-0.0377853568357813,-0.014854276085714,-0.071471050385516,-1,-1,-1,-3,3
"11815","ENSG00000188175",-0.262613145436582,-1.27086636991786,-0.488026237210478,-1,-1,-1,-3,3
"11819","ENSG00000188211",0.216039028692657,0.198329535582142,0.0182186415531591,1,1,1,3,3
"11820","ENSG00000188215",0.134491739765822,0.0461858773249997,0.037202371036364,1,1,1,3,3
"11822","ENSG00000188227",0.135469664293992,0.309998497092857,0.251517286036055,1,1,1,3,3
"11828","ENSG00000188282",-0.0340240496272363,-0.184782455646429,-0.279603036812635,-1,-1,-1,-3,3
"11830","ENSG00000188290",-0.240750877111882,-0.457549938703572,-0.345722307905393,-1,-1,-1,-3,3
"11834","ENSG00000188313",0.0756185456846463,0.125344791932143,0.0327308489765787,1,1,1,3,3
"11838","ENSG00000188343",-0.0467175792429906,-0.00788784013571409,-0.0386273449919878,-1,-1,-1,-3,3
"11840","ENSG00000188372",0.191542903849132,0.00264115932857134,0.137317535683513,1,1,1,3,3
"11841","ENSG00000188385",0.0422592514128172,0.000341726382142804,0.0810476626104775,1,1,1,3,3
"11845","ENSG00000188452",-0.00727907350574064,-0.265043238107143,-0.214302913666872,-1,-1,-1,-3,3
"11846","ENSG00000188483",-0.323922211865687,-0.0258969941428573,-0.265773961847457,-1,-1,-1,-3,3
"11849","ENSG00000188488",0.344682570399466,0.237613023117857,0.127785327104468,1,1,1,3,3
"11854","ENSG00000188554",0.0648259354897203,0.0519490598250005,0.00882557350600877,1,1,1,3,3
"11855","ENSG00000188559",0.291420415172229,0.119033415546429,0.0987986794785822,1,1,1,3,3
"11856","ENSG00000188566",-0.151202611920962,-0.0759918677249996,-0.0715476784613251,-1,-1,-1,-3,3
"11868","ENSG00000188690",-0.23201426377303,-0.190490104164286,-0.00137685775963003,-1,-1,-1,-3,3
"11870","ENSG00000188707",0.0325596691295056,0.218252652078571,0.231796426686903,1,1,1,3,3
"11873","ENSG00000188735",-0.112605863944993,-0.054216983410714,-0.154164218696456,-1,-1,-1,-3,3
"11876","ENSG00000188760",-0.140009037629639,-0.0119056815428573,-0.232406992883821,-1,-1,-1,-3,3
"11902","ENSG00000188994",0.096913954919092,0.339946402532142,0.086128234362711,1,1,1,3,3
"11906","ENSG00000189046",-0.0719680828461948,-0.0675799718821422,-0.00619336408073945,-1,-1,-1,-3,3
"11912","ENSG00000189067",0.0701111921933233,0.0232860002107138,0.0671561618422185,1,1,1,3,3
"11917","ENSG00000189114",-0.142216761131642,-0.106307855307143,-0.183162888392604,-1,-1,-1,-3,3
"11919","ENSG00000189129",-0.113977949793058,-0.191804315232143,-0.242551236087519,-1,-1,-1,-3,3
"11936","ENSG00000189298",0.11344692094259,0.235151257107143,0.0291492422896757,1,1,1,3,3
"11940","ENSG00000189325",0.106251292265955,0.695583489146429,0.170840630791063,1,1,1,3,3
"11943","ENSG00000189362",0.103723596485981,0.0898868269535713,0.00627771157873713,1,1,1,3,3
"11946","ENSG00000189376",-0.0348355952130834,-0.177968845535714,-0.0564258449614794,-1,-1,-1,-3,3
"11947","ENSG00000189377",-0.626836405431776,-0.741595108996429,-0.537902883937442,-1,-1,-1,-3,3
"11954","ENSG00000196090",-0.0416024501708945,-0.0629200296535712,-0.114072595664407,-1,-1,-1,-3,3
"11961","ENSG00000196126",0.202214328028571,0.215335024757144,0.251751702672728,1,1,1,3,3
"11966","ENSG00000196151",0.0874657443671558,0.0595596488214278,0.0168066069710324,1,1,1,3,3
"11972","ENSG00000196177",-0.0322325121845131,-0.175966205464285,-0.0172933017109393,-1,-1,-1,-3,3
"11979","ENSG00000196214",-0.00630254455594059,-0.0627093925142859,-0.0208375183177196,-1,-1,-1,-3,3
"11980","ENSG00000196218",0.611211111080908,0.0857737008071431,0.251935827281664,1,1,1,3,3
"11985","ENSG00000196236",0.0302159249126834,0.0579916177071427,0.018721143820339,1,1,1,3,3
"11989","ENSG00000196263",0.222775085501202,0.190756604475,0.240104840235131,1,1,1,3,3
"12003","ENSG00000196345",0.106712808255274,0.235482878510715,0.14301629102866,1,1,1,3,3
"12007","ENSG00000196365",-0.160680449836849,-0.0140625725392853,-0.0137587432511559,-1,-1,-1,-3,3
"12008","ENSG00000196367",0.144603170106275,0.0084426573928571,0.0262484961827418,1,1,1,3,3
"12022","ENSG00000196437",0.0975717198995993,0.0221692828499997,0.168036531451464,1,1,1,3,3
"12029","ENSG00000196460",-0.26771051617223,-0.0744454489214286,-0.407353102443451,-1,-1,-1,-3,3
"12040","ENSG00000196507",-0.0346351792448596,-0.00468408883214266,-0.0290997935257318,-1,-1,-1,-3,3
"12041","ENSG00000196510",-0.0932318888443255,-0.00960262036785764,-0.191342369735594,-1,-1,-1,-3,3
"12042","ENSG00000196511",0.000716674214152224,0.245936216860715,0.257751229311248,1,1,1,3,3
"12045","ENSG00000196531",-0.154267007580239,-0.156642016471428,-0.0023348810064725,-1,-1,-1,-3,3
"12046","ENSG00000196535",0.10486705219279,0.289720823782143,0.0640249438850535,1,1,1,3,3
"12047","ENSG00000196542",-0.0448519426469964,-0.266185041435714,-0.67908477901171,-1,-1,-1,-3,3
"12049","ENSG00000196547",0.0606387327644864,0.0745863505499997,0.127287983406164,1,1,1,3,3
"12064","ENSG00000196616",0.728911636508945,0.595750310714285,1.00866510722003,1,1,1,3,3
"12069","ENSG00000196642",-0.189100278172496,-0.0456031740071428,-0.0969001826604003,-1,-1,-1,-3,3
"12071","ENSG00000196652",0.14649896110494,0.0308240218750004,0.0610201688169489,1,1,1,3,3
"12091","ENSG00000196735",0.180013154708678,0.108574532657142,0.140847862716487,1,1,1,3,3
